Team	|	Lineup
ATL		|	("De'Andre Hunter", 'Saddiq Bey', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'Jalen Johnson', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'John Collins', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	('John Collins', "De'Andre Hunter", 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'John Collins', 'Clint Capela', 'Dejounte Murray', 'Aaron Holiday')
ATL		|	('AJ Griffin', 'John Collins', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'John Collins', 'Onyeka Okongwu', 'Dejounte Murray', 'Trae Young')
ATL		|	('Jarrett Culver', 'Jalen Johnson', 'Clint Capela', 'AJ Griffin', 'Dejounte Murray')
ATL		|	('AJ Griffin', 'Jalen Johnson', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	('AJ Griffin', 'Jalen Johnson', 'Clint Capela', 'Aaron Holiday', 'Trae Young')
ATL		|	('AJ Griffin', "De'Andre Hunter", 'Clint Capela', 'Trent Forrest', 'Trae Young')
ATL		|	("De'Andre Hunter", 'Jalen Johnson', 'Onyeka Okongwu', 'AJ Griffin', 'Trent Forrest')
ATL		|	("De'Andre Hunter", 'Jalen Johnson', 'Clint Capela', 'AJ Griffin', 'Trae Young')
ATL		|	('Bogdan Bogdanovic', "De'Andre Hunter", 'Onyeka Okongwu', 'Trent Forrest', 'Trae Young')
ATL		|	('Bogdan Bogdanovic', "De'Andre Hunter", 'John Collins', 'Dejounte Murray', 'Trae Young')
ATL		|	('Bogdan Bogdanovic', 'John Collins', 'Onyeka Okongwu', 'Dejounte Murray', 'Trae Young')
ATL		|	('AJ Griffin', 'John Collins', 'Onyeka Okongwu', 'Aaron Holiday', 'Dejounte Murray')
ATL		|	('AJ Griffin', 'John Collins', 'Onyeka Okongwu', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'John Collins', 'Onyeka Okongwu', 'Aaron Holiday', 'Dejounte Murray')
ATL		|	('Bogdan Bogdanovic', 'John Collins', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	("De'Andre Hunter", 'John Collins', 'Clint Capela', 'Aaron Holiday', 'Dejounte Murray')
ATL		|	("De'Andre Hunter", 'John Collins', 'Clint Capela', 'AJ Griffin', 'Dejounte Murray')
ATL		|	("De'Andre Hunter", 'John Collins', 'Clint Capela', 'Bogdan Bogdanovic', 'Trae Young')
ATL		|	('Saddiq Bey', 'John Collins', 'Clint Capela', 'Dejounte Murray', 'Trae Young')
ATL		|	('Saddiq Bey', 'John Collins', 'Clint Capela', 'Bogdan Bogdanovic', 'Dejounte Murray')
ATL		|	("De'Andre Hunter", 'Saddiq Bey', 'Onyeka Okongwu', 'AJ Griffin', 'Aaron Holiday')
ATL		|	('Kevin Huerter', 'John Collins', 'Clint Capela', 'Bogdan Bogdanovic', 'Trae Young')
ATL		|	('Solomon Hill', 'John Collins', 'Clint Capela', 'Kevin Huerter', 'Trae Young')
ATL		|	('Timothe Luwawu-Cabarrot', 'John Collins', 'Clint Capela', 'Kevin Huerter', 'Trae Young')
ATL		|	("De'Andre Hunter", 'Timothe Luwawu-Cabarrot', 'Clint Capela', 'Kevin Huerter', 'Trae Young')
ATL		|	('Cam Reddish', 'John Collins', 'Gorgui Dieng', 'Skylar Mays', 'Delon Wright')
ATL		|	('Cam Reddish', 'John Collins', 'Onyeka Okongwu', 'Skylar Mays', 'Delon Wright')
