Name					|	L	|	W	|	Win%
Aaron Gordon 			|	0	|	1	|	1.0
Al Horford 				|	26	|	21	|	0.447
Aleksej Pokusevski 		|	14	|	6	|	0.3
Alex Caruso 			|	0	|	1	|	1.0
Alex Len 				|	1	|	1	|	0.5
Alperen Sengun 			|	28	|	15	|	0.349
Andrew Wiggins 			|	0	|	2	|	1.0
Anthony Davis 			|	23	|	31	|	0.574
Anthony Gill 			|	1	|	0	|	0.0
Bam Adebayo 			|	31	|	43	|	0.581
Ben Simmons 			|	1	|	0	|	0.0
Bismack Biyombo 		|	7	|	7	|	0.5
Blake Griffin 			|	9	|	3	|	0.25
Bobby Portis 			|	1	|	0	|	0.0
Bol Bol 				|	15	|	18	|	0.545
Brandon Clarke 			|	1	|	0	|	0.0
Brook Lopez 			|	25	|	52	|	0.675
Bruno Fernando 			|	3	|	1	|	0.25
Cameron Payne 			|	0	|	1	|	1.0
Charles Bassey 			|	1	|	1	|	0.5
Christian Koloko 		|	5	|	13	|	0.722
Christian Wood 			|	4	|	6	|	0.6
Clint Capela 			|	35	|	28	|	0.444
Cody Zeller 			|	2	|	0	|	0.0
Damian Jones 			|	1	|	1	|	0.5
Daniel Gafford 			|	11	|	3	|	0.214
Daniel Theis 			|	1	|	0	|	0.0
Darius Bazley 			|	0	|	1	|	1.0
Day'Ron Sharpe 			|	2	|	1	|	0.333
DeAndre Jordan 			|	4	|	4	|	0.5
Deandre Ayton 			|	19	|	47	|	0.712
Devin Vassell 			|	0	|	1	|	1.0
Dewayne Dedmon 			|	1	|	0	|	0.0
Domantas Sabonis 		|	54	|	25	|	0.316
Draymond Green 			|	3	|	0	|	0.0
Drew Eubanks 			|	15	|	13	|	0.464
Dwight Powell 			|	43	|	21	|	0.328
Eugene Omoruyi 			|	1	|	0	|	0.0
Evan Mobley 			|	6	|	6	|	0.5
Giannis Antetokounmpo 	|	0	|	2	|	1.0
Goga Bitadze 			|	1	|	0	|	0.0
Gorgui Dieng 			|	0	|	1	|	1.0
Isaiah Hartenstein 		|	6	|	2	|	0.25
Isaiah Jackson 			|	6	|	6	|	0.5
Isaiah Stewart 			|	10	|	6	|	0.375
Isaiah Todd 			|	1	|	0	|	0.0
Ivica Zubac 			|	43	|	33	|	0.434
JaVale McGee 			|	4	|	3	|	0.429
Jabari Smith Jr. 		|	21	|	12	|	0.364
Jaden Ivey 				|	0	|	1	|	1.0
Jakob Poeltl 			|	37	|	33	|	0.471
Jalen Duren 			|	19	|	8	|	0.296
Jalen Smith 			|	4	|	3	|	0.429
Jalen Williams 			|	1	|	0	|	0.0
James Wiseman 			|	10	|	12	|	0.545
Jaren Jackson Jr. 		|	10	|	26	|	0.722
Jarrett Allen 			|	24	|	44	|	0.647
